Subject,gender,exp,TimeRaw,TimeTrimmed,IdleTime,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited_short10,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent,ObjectRevisits20,Revisiting20,ObjectEfficiency20
1_107,F,1,16567,16463,7053,4682.5353230039855,305.0,0.5290358256443013,293358.6648000002,7,5,9,14,15,7,20.22116260705825,0.1610672846181262,1.0040563511942011,4,1,0,0,0.065135653862902,0.0014949166460338,0.1326879273218487,0.0,6,29.8963736864484,0.0019220356877577664
1_110,F,1,16958,16913,7705,4576.286804825904,311.0,0.5200371624942,411854.5304000001,6,4,8,8,12,2,19.939513983326435,0.1898159712816749,1.0066584829678142,1,1,1,1,0.0679590273214598,0.0013111066364268,0.1312841760544889,0.0,4,35.25128599302312,0.001748142181902505
1_111,F,1,17193,17160,8944,4090.638010627776,316.0,0.5084457682864011,448242.13960000046,7,4,9,8,10,1,21.35804195804196,0.1814891752050458,1.0051828810310366,2,0,0,0,0.07724956331482,0.0017112245038093,0.1288768047258563,0.0,1,29.782575757575756,0.002200145790611964
1_112,M,1,15164,15152,6305,4411.144801570921,286.0,0.5341317288750369,313243.7772999998,5,4,8,8,15,3,22.62143611404435,0.2046456176776488,1.0073949253683394,2,1,0,0,0.0648357768482567,0.0011334926022422,0.1259820972715686,0.0,7,34.657866948257656,0.001813588163587601
1_113,F,1,17621,17592,8765,4382.8489112727575,316.0,0.5005098300309024,280990.0825000001,6,3,8,9,13,3,10.657173715325149,0.1491879259557025,1.0038784506335408,4,1,1,0,0.0720992227651843,0.001368972584149,0.1401093062286798,0.0,5,16.3800022737608,0.0018252967788654252
1_114,M,1,18089,17948,7770,5064.761335129488,320.0,0.513497974278743,421022.6698999999,8,4,8,13,15,5,31.06841987965233,0.1968062497836111,1.0074563651455113,3,1,0,0,0.0631816543418267,0.0015795413585456,0.1275415447166341,0.0,7,46.79825050144863,0.0015795413585456676
1_115,F,1,19282,19121,11517,3760.429254848216,224.0,0.4830935881033851,236441.26945000017,6,4,8,9,11,3,43.48595784739292,0.2293220711805304,1.0076146842656606,1,0,3,2,0.0595676676302853,0.0015955625258112,0.1419838397597741,0.0,3,222.81821034464724,0.0021274167010816186
1_117,M,1,15731,15676,5918,4863.762979921046,274.0,0.5274562946290391,240157.64964999992,6,5,9,12,18,6,49.4256187803011,0.193756900974072,1.0070367280679795,2,0,0,0,0.0563349820151901,0.0012336127448581,0.1248400928705915,0.0,9,73.00421025771881,0.0018504191172872692
1_120,F,1,18064,17924,8904,4488.57500515828,322.0,0.5062901278110927,477774.4492500001,3,3,5,4,12,1,26.103994644052666,0.1895758319935928,1.0055445595742118,2,1,0,0,0.0717376894960999,0.0006683635667338,0.126632585963385,0.0,7,41.340604775719704,0.0011139392778897511
1_121,F,1,17073,17001,10286,3180.4753747021578,220.0,0.4707564801658552,274166.29445000004,3,3,5,4,9,1,17.708311275807304,0.3772922000326499,1.0197481810515492,1,0,10,8,0.0691720494835154,0.0009432552202297,0.2237984866850301,0.0,4,28.44073878007176,0.0015720920337162602
1_122,M,1,19914,19671,11009,4294.795691390504,295.0,0.4605054083284201,281454.55500000017,5,4,8,9,15,4,145.57800823547353,0.1864079339645388,1.0056761216054364,2,0,0,0,0.0686877842853775,0.0011641997336504,0.1404600028197717,0.0,7,182.56423160998423,0.001862719573840748
1_125,F,1,14947,14903,6057,4396.852128823811,293.0,0.5138182763231294,363005.76025,4,4,9,7,14,3,30.408575454606456,0.2602929674825527,1.0102031377259093,1,0,1,0,0.0666385840176934,0.0009097417613336,0.133521953746272,0.0,5,45.952895390189894,0.002046918963000824
1_127,F,1,17217,17163,8123,4500.963779362771,318.0,0.5122266170431173,279989.1818,5,3,9,7,16,2,10.657926935850377,0.2337453485872485,1.010061842479104,3,0,2,2,0.0706515350019149,0.001110873191854,0.1342298590048651,0.0,7,18.729825788032397,0.001999571745337214
1_128,F,1,14124,14051,5837,4078.3323219230224,308.0,0.5590226593100696,312364.9266500002,6,4,8,7,10,1,7.893744217493417,0.1632629676190739,1.0052102059222154,7,2,0,0,0.0755210649079159,0.0014711895761282,0.1350382811576444,0.0,2,13.486655754038859,0.0019615861015043097
1_129,F,1,15018,14895,6574,4145.055128617203,264.0,0.5223046152857969,281262.9855000001,8,4,8,9,11,1,33.28734474655925,0.1710466147707506,1.0049123248700411,5,1,0,0,0.0636903471264737,0.001930010518984,0.1259696359243173,0.0,3,48.602618328298085,0.0019300105189840532
1_131,M,1,17100,16976,8781,4079.5284487344975,285.0,0.4971494522422718,348811.8258499996,7,4,9,9,13,2,14.953817153628652,0.1787648562168125,1.005781865314943,3,0,1,0,0.0698610154534917,0.0017158845900857,0.1331465373186832,0.0,4,20.857210179076343,0.0022061373301102663
1_134,F,1,16560,16169,8243,3887.689191846716,266.0,0.491856295958667,296973.13005,5,2,7,6,14,1,46.63584637268848,0.3667940684950959,1.016620205193264,2,1,3,2,0.0684211074686363,0.0012861110426435,0.1573700386640216,0.0,7,108.55958933762138,0.0018005554597009556
1_136,M,1,16787,16758,7084,4811.602614102693,279.0,0.5054751245577283,245429.9397,5,3,7,8,13,3,23.04899152643513,0.2778707715934704,1.0138696587855347,5,1,6,3,0.0579848383950614,0.0010391548099473,0.1331162544394868,0.0,6,37.257250268528466,0.0014548167339262735
1_137,M,1,17437,17304,9571,3849.664678137825,303.0,0.4801942653282531,462785.8901999998,6,4,9,6,11,0,173.14921405455385,0.145634881295458,1.0034915058214215,0,0,0,0,0.078708153912919,0.0015585773052063,0.1321339828923373,0.0,2,180.0709662505779,0.0023378659578094773
1_138,M,1,17399,17328,7830,4726.071903546468,277.0,0.4945075025243424,316126.93975,6,4,9,10,16,4,44.0944136657433,0.2712571975014192,1.0128109841505455,3,1,1,0,0.0586110422467626,0.0012695532616627,0.1282745937693991,0.0,7,73.35318559556787,0.0019043298924940931
1_141,M,1,15742,15638,6027,4778.0284521581325,335.0,0.5185342383994815,376173.3426000001,4,4,7,5,11,1,19.726499552372427,0.1453487084746499,1.004086137918868,3,0,1,1,0.0701126004908337,0.000837165378995,0.1313812658816101,0.0,4,34.42013045146438,0.0014650394132413027
2_15,F,2,17567,17390,3269,7035.058354009461,301.0,0.5836962385576561,229744.09395000016,6,6,9,15,25,9,76.6252443933295,0.1398588749587591,1.003420986493889,1,0,0,0,0.0427857147522383,0.00085287139041,0.1337617880672837,0.0,16,124.8215641173088,0.0012793070856150991
2_16,F,2,16455,16244,2223,6979.088761026915,433.0,0.6532590607904549,516370.19715,6,3,9,9,18,3,18.450012312238364,0.1402875195719408,1.003070268007494,2,0,3,2,0.0620424836001494,0.0008597110891475,0.1310002348840943,0.0,9,28.852437823196258,0.001289566633721352
2_17,F,2,17348,16743,5093,5810.257903450426,344.0,0.5804453722370025,255458.1576999999,5,1,8,11,15,6,66.90766290390013,0.1494772073486512,1.0037484919033823,4,1,0,0,0.0592056335047907,0.0008605469986161,0.1355295901536539,0.0,7,98.69019888908798,0.0013768751977858323
2_19,M,2,17076,16503,2877,6775.997273965773,519.0,0.6613378255167536,478491.35245,7,2,8,14,13,7,12.89959401320972,0.1492931637567206,1.0043550326825137,0,0,0,0,0.076593891499051,0.0010330582668465,0.1325331904348083,0.0,5,26.42028722050536,0.001180638019253195
2_20,F,2,16474,16108,2499,6779.771483211856,397.0,0.6406696190886165,377775.9316,8,5,9,11,17,3,26.9672212565185,0.1543615220973617,1.0034504344422084,2,1,1,1,0.0585565458928897,0.0011799807736602,0.1257561384436351,0.0,8,44.29556741991557,0.0013274783703677768
2_21,M,2,15738,15503,1758,6839.776716023194,492.0,0.668262965471677,599845.5248,7,4,9,11,15,4,14.891053344513963,0.2574326550026901,1.0100905997729008,4,1,3,0,0.0719321727049096,0.0010234252214113,0.1340018129565308,0.0,6,22.87466941882216,0.0013158324275288347
2_27,F,2,17788,16708,5523,5521.962691590998,334.0,0.6061432181536903,439327.3086999998,9,5,9,17,18,8,35.40274120181949,0.2522872751912458,1.010431027492494,2,0,3,3,0.0604857400627904,0.001629855271153,0.1487737648015622,0.0,9,52.9276394541537,0.001629855271153037
