Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NS,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,TimeRawTrimmed,TimeTrimmed,IdleTime,PathLength_Y,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent
506,25.0,male,Pink,PinkGreen,novel,deep,15.0,5.0,9.0,5.0,9.0,1965,1724,1317,672,44.199999999999946,278.7416311947439,24.0,0.4899036353979123,4967.7224574933325,9.0,11.0,9.0,15.0,0.0,5.020501138952164,0.33293572631246005,1.0193309354634916,0,0,0,0,0.08610123969329975,0.032287964884987405,0.4498087879555501,0.0
507,25.0,female,Pink,PinkGreen,novel,deep,27.0,5.0,8.0,6.0,8.0,1616,1467,1363,684,46.599999999999945,288.03402799902,20.0,0.437882368476352,3986.163488111111,9.0,11.0,12.0,15.0,3.0,19.920029347028613,0.35365466047182514,1.0170035041575995,2,0,3,1,0.06943624036000375,0.031246308162001683,0.37827156029679243,0.0
508,26.0,male,Pink,PinkPink,familiar,deep,23.0,5.0,7.0,5.0,7.0,1736,1376,1190,202,72.89999999999992,435.43456221755446,36.0,0.5609395852649139,8490.055968,13.0,16.0,15.0,19.0,2.0,3.534453781512605,0.2808408973418097,1.0137064217305825,0,0,2,2,0.08267602786664753,0.029855232285178276,0.3969896910291618,0.0
510,31.0,female,Pink,PinkGreen,novel,deep,28.0,6.0,7.0,7.0,8.0,1547,1215,1179,706,30.899999999999952,207.14296915578888,20.0,0.4261831630396693,2272.762896728889,9.0,9.0,10.0,9.0,1.0,9.541984732824428,0.3864576312322798,1.028143215606835,1,0,0,0,0.09655167192741321,0.04344825236733594,0.33433100814664723,0.0
511,8.0,male,Pink,PinkGreen,novel,deep,10.0,5.0,8.0,5.0,8.0,1857,1641,1327,707,51.099999999999945,295.2354580963827,26.0,0.4538922878605243,5557.755949973334,11.0,12.0,11.0,14.0,0.0,1.3790504898266767,0.561706414939914,1.0370315572667137,0,0,4,3,0.08806530275070154,0.0372583973176045,0.3986196172810667,0.0
512,39.0,female,Pink,PinkPink,familiar,deep,15.0,5.0,7.0,6.0,6.0,2172,1343,929,234,62.29999999999995,341.7857049308892,28.0,0.5232914356795285,7734.782971773333,11.0,12.0,11.0,14.0,0.0,6.520990312163617,0.3350299858839264,1.0149242122302538,0,0,3,2,0.08192267726838295,0.03218390892686473,0.39340961446222134,0.0
514,9.0,male,Green,GreenGreen,familiar,deep,8.0,8.0,9.0,8.0,9.0,2589,2238,1298,306,120.00000000000001,477.4639445221768,25.0,0.5113122629328458,5178.519231857779,12.0,14.0,22.0,25.0,10.0,41.23420647149461,0.39624401571292794,1.020189279859158,1,0,1,0,0.05235997458408888,0.025132787800362662,0.30685438178977253,0.0
515,42.0,male,Pink,PinkGreen,novel,deep,11.0,5.0,7.0,6.0,6.0,1717,1555,1360,295,74.2999999999999,513.7730561947744,34.0,0.55182749594971,7878.5111904,12.0,16.0,19.0,26.0,7.0,16.273529411764706,0.3198714831943527,1.010618512507705,3,1,0,0,0.0661770787511099,0.023356616029803493,0.36164103733043157,0.0
517,11.0,female,Pink,PinkPink,familiar,deep,12.0,7.0,8.0,5.0,8.0,1968,1270,969,468,40.09999999999995,265.0127373722678,19.0,0.43291134205658993,3669.0023808355536,9.0,12.0,12.0,15.0,3.0,15.63983488132095,0.31589668324264014,1.0131223404083682,2,1,3,2,0.07169466716352725,0.03396063181430239,0.32868597355464013,0.0
518,,,Green,GreenGreen,familiar,deep,,5.0,7.0,8.0,7.0,3319,3029,1370,545,68.69999999999999,404.21625470974243,31.0,0.49921643799071436,9993.760688800001,10.0,14.0,11.0,17.0,1.0,8.527737226277372,0.31937930332368053,1.0154085979796956,1,0,2,2,0.07669162147440192,0.02473923273367804,0.41816405990449734,0.0006605019815059445
519,8.0,female,Green,GreenGreen,familiar,deep,10.0,1.0,8.0,1.0,7.0,3001,2935,1468,1132,70.3,174.71544914520493,10.0,0.33481928082378837,1099.265,5.0,6.0,9.0,7.0,4.0,40.771117166212534,0.5628050242637134,1.0502929316171699,2,1,0,0,0.0572359230332806,0.0286179615166403,0.366428380703137,0.0
520,24.0,female,Pink,PinkPink,familiar,deep,14.0,3.0,6.0,4.0,6.0,1709,1485,1305,514,56.89999999999992,385.1382764985497,33.0,0.5321348103471277,6657.023947626668,12.0,15.0,14.0,18.0,2.0,4.598467432950192,0.30825785372082437,1.0126836228347278,2,0,0,0,0.08568351164682086,0.03115764059884395,0.3431031166363556,0.0
522,60.0,male,Green,GreenPink,novel,deep,27.0,7.0,7.0,7.0,7.0,3090,2811,1366,746,55.8,285.10447650968706,14.0,0.39054291675401526,2951.0692563577772,4.0,4.0,7.0,8.0,3.0,37.91508052708638,0.30426500194568235,1.0138525607516182,0,0,0,0,0.04910480596934548,0.014029944562670137,0.37744920138179855,0.0010676156583629894
