Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NoveltySeeking,ExploratoryExcitability,Impulsiveness,Extravagance,Disorderliness,Total,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,IdleSteps2d,DistanceTravelledY,DistanceTravelled2d_100ms,AreaCoveredRaw_14,RoamingEntropy_14,ObjectsVisited10,ObjectVisits10,RevisitingGagnon14,StepLengthCoeffVar,LagStepsPercent3xMedian,LagStepsPercent4xMedian,LagStepsPercent5xMedian,trimLoss,SinuosityRediscretized,FractalDimension,numTurningPointsFlight150,numTurningPointsFlight160,numTurningPointsFlight170,numTurningPointsFlight180,numTurningPointsRaw150,numTurningPointsRaw160,numTurningPointsRaw170,numTurningPointsRaw180
587.0,11.0,male,Pink,PinkGreen,novel,deep,12.0,,,,,,7.0,9.0,7.0,9.0,1496,1156,30.399999999999974,143.82000628898598,13.0,0.28273778654171605,6.0,7.0,1.0810408921933086,0.35094586735229405,0.0,0.0,0.0,156,0.5475965061802165,1.0302605607896733,0,0,0,0,0,0,0,0
588.0,43.0,female,Pink,PinkPink,familiar,deep,23.0,9.0,5.0,3.0,6.0,23.0,4.0,8.0,4.0,8.0,1865,877,55.19999999999996,296.54171548476523,20.0,0.41336580095975556,9.0,11.0,8.877261998426436,0.3284843726700633,0.0,0.0,0.0,230,0.7528731354382864,1.0626320721235045,1,1,1,0,3,3,2,2
589.0,8.0,male,Green,GreenGreen,familiar,deep,10.0,,,,,,7.0,7.0,5.0,5.0,3022,841,60.19999999999999,348.59239009579335,25.0,0.4793215232510489,12.0,16.0,14.951054852320675,0.35021396812918515,0.0,0.0,0.0,316,0.3826724490895671,1.0245102607799201,1,1,1,0,0,0,0,0
590.0,11.0,female,Pink,PinkPink,familiar,deep,11.0,,,,,,9.0,8.0,8.0,8.0,1617,821,44.799999999999955,293.7617768613626,21.0,0.44401407138958066,9.0,12.0,14.366841710427607,0.3783718495881591,0.0,0.0,0.0,168,0.324411971655256,1.012253966234466,2,2,2,2,2,1,1,1
591.0,10.0,male,Green,GreenPink,novel,deep,7.0,,,,,,6.0,7.0,6.0,7.0,2536,1210,24.799999999999997,138.56737606355938,7.0,0.18146393513688833,4.0,7.0,190.96408163265306,0.29648897441487987,0.0,0.0,0.0,276,0.7823094794400297,1.0739280780880565,1,1,1,0,1,0,0,0
592.0,67.0,female,Pink,PinkGreen,novel,deep,14.0,7.0,0.0,4.0,3.0,14.0,1.0,9.0,1.0,9.0,2007,1038,29.499999999999964,179.13421078368077,19.0,0.4345067564983805,6.0,7.0,0.6112737920937042,0.46043017066716124,0.0,0.0,0.0,135,0.23684644820636178,1.0064459964363879,0,0,0,0,1,1,1,1
594.0,52.0,female,Green,GreenGreen,familiar,deep,20.0,,,,,,3.0,7.0,3.0,7.0,2848,982,41.39999999999999,249.6527495688477,19.0,0.46286370918552133,9.0,13.0,26.411336032388665,0.28176399800795676,0.0,0.0,0.0,266,0.32966073713645444,1.010757246922524,1,1,1,0,0,0,0,0
595.0,13.0,male,Pink,PinkPink,familiar,deep,7.0,,,,,,7.0,7.0,7.0,7.0,1655,425,103.49999999999991,500.92010456077134,35.0,0.5511410548820095,14.0,18.0,15.256410256410257,0.34396374861837276,0.0,0.0,0.0,97,0.4470039001494197,1.0223770772905352,3,3,3,1,1,0,0,0
596.0,8.0,female,Pink,PinkGreen,novel,deep,10.0,,,,,,5.0,9.0,4.0,9.0,1510,933,33.09999999999995,219.8118040181198,18.0,0.41661573485161174,7.0,8.0,2.497803806734993,0.43308108432499753,0.0,0.0,0.0,135,0.5677370096260821,1.0399293347435608,0,0,0,0,0,0,0,0
598.0,15.0,female,Green,GreenPink,novel,deep,8.0,,,,,,2.0,4.0,2.0,5.0,2521,265,127.2,609.0954666889654,39.0,0.5895945034289073,17.0,24.0,12.991982507288629,0.31323905309646877,0.0,0.0,0.0,129,0.39045145942729437,1.0184295675559523,4,3,1,0,1,1,0,0
599.0,9.0,male,Green,GreenGreen,familiar,deep,11.0,,,,,,7.0,7.0,7.0,8.0,2877,559,84.5,455.57875870405394,30.0,0.5237372660663625,15.0,18.0,10.578068264342773,0.3479688355087678,0.0,0.0,0.0,124,0.41837095656114137,1.0210049018053036,1,1,1,1,0,0,0,0
600.0,23.0,female,Pink,PinkPink,familiar,deep,19.0,3.0,2.0,6.0,8.0,19.0,3.0,7.0,3.0,7.0,1551,1120,23.99999999999997,146.72346290223834,14.0,0.4029118134518629,8.0,8.0,0.0,0.2641645132460711,0.0,0.0,0.0,107,0.19701753364277294,1.003134010701504,0,0,0,0,1,1,0,0
601.0,14.0,female,Green,GreenPink,novel,deep,14.0,,,,,,2.0,7.0,2.0,7.0,2615,444,94.39999999999999,511.80509216091906,43.0,0.6010784877478715,13.0,16.0,6.085780525502319,0.3135641282149464,0.0,0.0,0.0,207,0.3370366659279431,1.015039533236718,0,0,0,0,2,2,2,2
603.0,8.0,female,Green,GreenGreen,familiar,deep,11.0,,,,,,7.0,7.0,7.0,8.0,2542,828,58.29999999999998,313.4772491267548,25.0,0.48378997337655677,8.0,10.0,10.491720662347012,0.37665500094985355,0.0007204610951008645,0.0,0.0,112,0.36354340581739675,1.0146348651870905,1,0,0,0,1,1,1,1
